description,category,type
KTM COMMUTER PASS,Travel Expenses,DR
WET MARKET WEEKLY SHOP,Shopping,DR
TEALIVE BUBBLE TEA,Food,DR
LAZADA HAIRCARE,Shopping,DR
PETRONAS FUEL,Travel Expenses,DR
ASTRO BILL,Utilities,DR
DENTAL CHECKUP (GOV CLINIC),Personal Expenses,DR
OLDTOWN WHITE COFFEE,Food,DR
99 SPEEDMART ESSENTIALS,Shopping,DR
GRABFOOD PROMO MEAL,Food,DR
PASAR MALAM FRUITS,Food,DR
MYNEWS MAGAZINE,Shopping,DR
TOUCH 'N GO RELOAD,E-Wallet,DR
UNIQLO BASIC TSHIRT,Shopping,DR
MCDONALD'S VALUE MEAL,Food,DR
WATSONS MEDICINE,Personal Expenses,DR
PARKING FEE (DBKL),Travel Expenses,DR
KOPITIAM BREAKFAST,Food,DR
SHOPEE CASHBACK CREDIT,Cashback,CR
MAXIS BROADBAND,Utilities,DR
MINI BUS FARE,Travel Expenses,DR
PHARMACY VITAMINS,Personal Expenses,DR
MYDIN MONTHLY STOCKUP,Shopping,DR
SALARY NOV 2023,Primary Income,CR
HAIRCUT (KAMPUNG BARBER),Personal Expenses,DR
STARBUCKS TREAT,Food,DR
PAYPAL FREELANCE EARNINGS,Other Income,CR
YONEX SHUTTLECOCKS,Personal Expenses,DR
KINDERGARTEN FEE,Education,DR
PASAR MALAM SNACKS,Food,DR
LRT MONTHLY PASS,Travel Expenses,DR
SECRET RECIPE CHEESECAKE,Food,DR
MR DIY HOME REPAIR,Shopping,DR
MYNEWS CONVENIENCE STORE,Shopping,DR
TRAFFIC FINE (AES),Other Fees,DR
KFC DINNER PROMO,Food,DR
SHOPEE CNY CLOTHES,Shopping,DR
GUARDIAN MEDICINE,Personal Expenses,DR
PETRON MOBILE RELOAD,E-Wallet,DR
PARKSON SALE ITEM,Shopping,DR
GRABPARTNER EARNINGS,Other Income,CR
WATER BILL (SYABAS),Utilities,DR
MAMAK SUPPER,Food,DR
TNG E-WALLET CASHBACK,Cashback,CR
CHRISTMAS GIFT (MINISO),Shopping,DR
CAR WASH (SELF-SERVICE),Travel Expenses,DR
GSC MOVIE (EARLY BIRD),Entertainment,DR
CHRISTMAS BUFFET,Food,DR
MYDIN DISCOUNTED ITEMS,Shopping,DR
PHONE SCREEN REPAIR,Personal Expenses,DR
KINOKUNIYA BOOK SALE,Shopping,DR
NEW YEAR'S EVE PARTY,Entertainment,DR
IPHONE CREDIT INSTALLMENT,Other Loans,DR
NEW YEAR COUNTDOWN TICKET,Entertainment,DR
SALARY DEC 2023,Primary Income,CR
MAYBANK ATM WITHDRAWAL,Withdrawal,DR
AEON BIG NEW YEAR SALE,Shopping,DR
MAXIS POSTPAID BILL,Utilities,DR
GRAB RIDE TO AIRPORT,Travel Expenses,DR
STARBUCKS NEW YEAR PROMO,Food,DR
SHOPEE CNY DECOR,Shopping,DR
TNB ELECTRIC BILL,Utilities,DR
KOPITIAM BREAKFAST,Food,DR
GUARDIAN VITAMIN C,Personal Expenses,DR
PARKING FEE (MALL),Travel Expenses,DR
LOTUS'S CNY PROMO,Shopping,DR
HAIRCUT (SALOON),Personal Expenses,DR
GRABFOOD WEEKEND MEAL,Food,DR
DIGI INTERNET ADD-ON,Utilities,DR
PETRONAS CNY FUEL PROMO,Travel Expenses,DR
WET MARKET CNY ITEMS,Shopping,DR
ANG PAO MONEY (GIVING),Other Fees,DR
MOVIE TICKET (CNY SPECIAL),Entertainment,DR
MAMAK CNY EVE DINNER,Food,DR
ANG PAO MONEY (RECEIVED),Other Income,CR
PUBLIC BANK ATM FEE,Bank Fees,DR
SHOPEE CNY CASHBACK,Cashback,CR
KARAOKE SESSION,Entertainment,DR
POSTAGE (CNY CARD),Other Fees,DR
TEALIVE CNY PROMO,Food,DR
MR DIY RED DECOR,Shopping,DR
KFC CNY SET MEAL,Food,DR
LRT CNY TRAVEL PASS,Travel Expenses,DR
CNY OPEN HOUSE GIFT,Other Fees,DR
SALARY JAN 2024,Primary Income,CR
SALARY (DIGITAL MARKETER @ KUALA LUMPUR),Primary Income,CR
SEPHORA MALAYSIA HAUL (FENTY BEAUTY),Shopping,DR
STARBUCKS RESERVE BANGSAR,Food,DR
SUNWAY LAGOON TICKET (WEEKEND),Entertainment,DR
WATSONS MEMBERSHIP RENEWAL,Personal Expenses,DR
THE BODY SHOP VITAMIN E MOISTURIZER,Shopping,DR
TREC KL (ZOUK CLUB COVER CHARGE),Entertainment,DR
INNISFREE GREEN TEA SERUM @ PAVILION,Shopping,DR
BRUNCH @ VCR BANGSAR,Food,DR
SALON VISAGE (HAIR COLOR + CUT),Personal Expenses,DR
NETFLIX SUBSCRIPTION,Entertainment,DR
GUARDIAN ACNE PATCHES,Personal Expenses,DR
TAPESTRY KL (LIVE MUSIC BAR),Entertainment,DR
SASA EYELASH EXTENSION,Personal Expenses,DR
CHATIME BOBA TEA (BUY 1 FREE 1),Food,DR
SUNSILK SHAMPOO @ 99 SPEEDMART,Shopping,DR
CINEMA @ GSC MID VALLEY (MARVEL MOVIE),Entertainment,DR
L'OCCITANE HAND CREAM @ KLIA2,Shopping,DR
SOCIAL BREW CAFE (INSTA-WORTHY LATTE),Food,DR
NAKED UV NAIL SALON (GEL MANI),Personal Expenses,DR
SPOTIFY PREMIUM DUO,Entertainment,DR
THE FACE SHOP SHEET MASKS (5-PACK),Shopping,DR
PIZZA MANSION (TGIF NIGHT),Food,DR
SALON KUR (BLOWOUT HAIR),Personal Expenses,DR
GRAM CAFE (JAPANESE PANCAKES),Food,DR
MAC STUDIO FIX FOUNDATION @ ROBINSONS,Shopping,DR
ESCAPE ROOM @ MYSTERIA DAMANSARA,Entertainment,DR
BATH & BODY WORKS (3-WICK CANDLE),Shopping,DR
J.CO DONUTS + COFFEE COMBO,Food,DR
SALON DE CHOCOLAT (HAIR TREATMENT),Personal Expenses,DR
TGV CINEMA (EARLY BIRD TICKET),Entertainment,DR
INNISFREE NO-SEBUM POWDER @ LOT10,Shopping,DR
COMMUNE @ THE GARDENS MALL,Shopping,DR
SIGNATURE MARKET (ORGANIC SHAMPOO),Shopping,DR
JAYA GROCER (IMPORTED WINE),Shopping,DR
NAILSPA @ 1 UTAMA (PEDICURE),Personal Expenses,DR
HARVEY NORMAN (AIR PURIFIER),Shopping,DR
% ARABICA COFFEE @ BANGSAR VILLAGE,Food,DR
SASA LIPSTICK (YSL DUPE),Shopping,DR
AXIS CLUB (WEDNESDAY LADIES NIGHT),Entertainment,DR
GUARDIAN RETINOL SERUM,Shopping,DR
BASKIN ROBBINS (FAMILY PACK),Food,DR
SALON KRISTOF (BALAYAGE HIGHLIGHTS),Personal Expenses,DR
THE BOTANIST (CRAFT COCKTAIL),Entertainment,DR
LANEIGE SLEEPING MASK @ SOGO,Shopping,DR
NANDO'S (PERI-PERI MEAL),Food,DR
SUNPLAY SUNSCREEN @ WATSONS,Personal Expenses,DR
PADI HOUSE (JAZZ BAR),Entertainment,DR
SALON DE PONY (FRINGE TRIM),Personal Expenses,DR
TSUJIRI MATCHA ICE CREAM,Food,DR
SALARY (DIGITAL MARKETER),Primary Income,CR
OLIVE YOUNG ONLINE ORDER (K-BEAUTY),Shopping,DR
COMMON GROUND CAFE (AVOCADO TOAST),Food,DR
SILKYGIRL MAKEUP @ GUARDIAN,Shopping,DR
ESCAPE THEME PARK (WEEKEND),Entertainment,DR
SALON KAKAK (KERATIN TREATMENT),Personal Expenses,DR
HARMAY BEAUTY (TRAVEL SIZE PERFUMES),Shopping,DR
BEN'S INDEPENDENT GROCER (GOURMET CHEESE),Shopping,DR
SALON DE BRILLIANT (GLOSS TREATMENT),Personal Expenses,DR
THE GARDENS MALL CINEMA,Entertainment,DR
INNISFREE NO-SEBUM BLUR PRIMER,Shopping,DR
PIZZA HUT (STUDENT DEAL),Food,DR
SALON LUMIERE (TONER REFRESH),Personal Expenses,DR
MANGO TANGO (THAI DESSERT),Food,DR
THE FACE SHOP EYEBROW PENCIL,Shopping,DR
SOUL SOCIETY (YOGA CLASS),Personal Expenses,DR
SASA EYELINER (K-POP STYLE),Personal Expenses,DR
STARBUCKS LIMITED EDITION TUMBLER,Shopping,DR
SALON VANITY (BLOWDRY),Personal Expenses,DR
TWG TEA (AFTERNOON TEA SET),Food,DR
SALARY (DIGITAL MARKETER),Primary Income,CR
LANEIGE LIP SLEEPING MASK,Shopping,DR
THE MUSSEL POT (SEAFOOD DINNER),Food,DR
SALON GLAM (HAIR EXTENSIONS),Personal Expenses,DR
BASKIN ROBBINS PINT,Food,DR
THE BODY SHOP TEA TREE OIL,Shopping,DR
PADINI ICONIC TSHIRT,Shopping,DR
SALON DE AMOUR (BRIDAL TRIAL),Personal Expenses,DR
SOCIALS @ TREC KL,Entertainment,DR
WATSONS FACE MASK BUNDLE,Personal Expenses,DR
THE COFFEE BEAN (RESERVE BLEND),Food,DR
SALON DE LUXE (OMBRE COLOR),Personal Expenses,DR
SALARY (DIGITAL MARKETER),Primary Income,CR
SASA PERFUME MINI SET,Shopping,DR
COMMUNE (WEEKEND BRUNCH),Food,DR
SALON DE CHIC (HAIR SPA),Personal Expenses,DR
GUARDIAN SUNSCREEN REPURCHASE,Personal Expenses,DR
THE LITTLE DONUTS (INSTA POST),Food,DR
SALON DE VOGUE (BANG TRIMMING),Personal Expenses,DR
SUNWAY PYRAMID ICE SKATING,Entertainment,DR
SASA EYEBROW MICROBLADING,Personal Expenses,DR
THE BOTANIST (ANNIVERSARY DINNER),Food,DR
SALON DE MODE (KERATIN SMOOTHING),Personal Expenses,DR
J.CO DONUTS (12-PACK),Food,DR
LANEIGE WATER BANK MOISTURIZER,Shopping,DR
SOCIAL BREW (LATTE ART CLASS),Entertainment,DR
SALON DE BEAUTE (DETANGLING),Personal Expenses,DR
THE FACE SHOP CC CREAM,Shopping,DR
PIZZA MANSION (GROUP HANGOUT),Food,DR
SALON DE PARIS (BLOWOUT),Personal Expenses,DR
RAMADAN BAZAAR BREAKFAST,Food,DR
KUIH RAYA PRE-ORDER,Food,DR
CAR BATTERY REPLACEMENT,Travel Expenses,DR
SALARY FEB 2024,Primary Income,CR
RAYA CLOTHES (PASAR MALAM),Shopping,DR
HOSPITAL DEPOSIT (FLU),Deposit,CR
ZAKAT FITRAH,Other Fees,DR
TOLL RAYA BALIK KAMPUNG,Travel Expenses,DR
DUIT RAYA (GIVING),Other Fees,DR
KAMPUNG BUS TICKET,Travel Expenses,DR
SAMBAL IKAN BILIS INGREDIENTS,Food,DR
PHONE SCREEN CRACK REPAIR,Personal Expenses,DR
BALIK KAMPUNG FUEL,Travel Expenses,DR
SERUNDING BEEF (BAZAAR),Food,DR
DUIT RAYA (RECEIVED),Other Income,CR
KETUPAT PALM LEAVES,Food,DR
PARKING FINE (RAYA VISIT),Travel Expenses,DR
KAMPUNG ELECTRIC BILL,Utilities,DR
MURAH DEPARTMENT STORE,Shopping,DR
BALIK KAMPUNG TOLL RETURN,Travel Expenses,DR
KERETA SEWA (RAYA WEEK),Travel Expenses,DR
KAMPUNG WATER BILL,Utilities,DR
LEMANG & RENDANG ORDER,Food,DR
POST-RAYA SALE SHOPPING,Shopping,DR
GRAB RAYA SURCHARGE,Travel Expenses,DR
DENTAL FILLING (EMERGENCY),Personal Expenses,DR
SALARY MAR 2024,Primary Income,CR
PHONE BILL OVERDUE FEE,Utilities,DR
KIDNEY MEDICINE (DAD),Personal Expenses,DR
PAHANG FLOOD RELIEF DONATION,Other Fees,DR
MOTORCYCLE TYRE REPLACEMENT,Travel Expenses,DR
KULIMAT TERNAK AYAM,Food,DR
CLINIC FEVER MEDICATION,Personal Expenses,DR
KAMPUNG FISHERMAN LOAN,Small Loans,DR
TELEKOM MALAYSIA BILL (LATE FEE),Utilities,DR
KAMPUNG CHICKEN FARM FEED,Food,DR
BROKEN SPECTACLES REPAIR,Personal Expenses,DR
WET MARKET FISH PURCHASE,Food,DR
KAMPUNG COMMUNITY POTLUCK,Food,DR
SALARY APR 2024,Primary Income,CR
KAMPUNG ROOF LEAK REPAIR,Mortgage,DR
AYAM GORENG BEREMPAH,Food,DR
KAMPUNG BUS FARE TO TOWN,Travel Expenses,DR
POS MALAYSIA MONEY ORDER,Other Fees,DR
KAMPUNG TUCK SHOP CREDIT,Deposit,CR
DAPUR KAMPUNG GAS REFILL,Utilities,DR
KAMPUNG BIKE TAXI,Travel Expenses,DR
KEDAI RUNCIT KOPI 'O',Shopping,DR
KAMPUNG WELL WATER PUMP,Utilities,DR
SAMBAL BELACAN PURCHASE,Food,DR
KAMPUNG PHONE BOOTH CALL,Utilities,DR
KAMPUNG BARBER HAIRCUT,Personal Expenses,DR
KAMPUNG COMMUNITY FEAST,Food,DR
KAMPUNG FISHING GEAR,Shopping,DR
KAMPUNG TINNED MILK,Food,DR
KAMPUNG MOSQUITO COIL,Shopping,DR
KAMPUNG BICYCLE TUBE,Shopping,DR
KAMPUNG KIDS SCHOOL FEE,Education,DR
KAMPUNG BUFFALO RENTAL,Mortgage,DR
KAMPUNG TEMPORARY WORK,Other Income,CR
SALARY MAY 2024,Primary Income,CR
KAMPUNG RICE PURCHASE,Food,DR
KAMPUNG CHICKEN PURCHASE,Food,DR
KAMPUNG VEGETABLE SEEDS,Shopping,DR
KAMPUNG FLOUR MILLING,Shopping,DR
KAMPUNG SUGAR PURCHASE,Food,DR
KAMPUNG OIL PURCHASE,Food,DR
KAMPUNG FISHERMAN NET,Shopping,DR
KAMPUNG TEMPLE DONATION,Other Fees,DR
KAMPUNG HANDICRAFT SALE,Other Income,CR
KAMPUNG RATTAN CHAIR REPAIR,Other Fees,DR
KAMPUNG FRUIT HARVEST,Other Income,CR
KAMPUNG WEDDING GIFT,Other Fees,DR
KAMPUNG BIRTHDAY GIFT,Other Fees,DR
KAMPUNG FISH CATCH,Other Income,CR
KAMPUNG COCONUT PURCHASE,Food,DR
KAMPUNG BANANA TREE SALE,Other Income,CR
KAMPUNG TEMPLE FESTIVAL,Other Income,CR
KAMPUNG HENNA PURCHASE,Personal Expenses,DR
KAMPUNG COFFEE BEANS,Shopping,DR
KAMPUNG RICE WINE,Food,DR
KAMPUNG BAMBOO CRAFT,Other Income,CR
KAMPUNG HERBAL MEDICINE,Personal Expenses,DR
KAMPUNG FISHING LICENSE,Other Fees,DR
KAMPUNG COCONUT OIL,Food,DR
KAMPUNG FLOOD RELIEF,Other Fees,DR
KAMPUNG MOSQUE DONATION,Other Fees,DR
KAMPUNG FISH BAIT,Shopping,DR
KAMPUNG HOMEMADE JAM,Food,DR
KAMPUNG FARM TOOLS,Shopping,DR
SALARY JUN 2024,Primary Income,CR
KAMPUNG CHICKEN SALE,Other Income,CR
KAMPUNG DUCK PURCHASE,Food,DR
KAMPUNG EGG SALE,Other Income,CR
KAMPUNG VEGETABLE SALE,Other Income,CR
KAMPUNG FISH SALE,Other Income,CR
KAMPUNG FRUIT SALE,Other Income,CR
KAMPUNG HONEY PURCHASE,Food,DR
KAMPUNG HANDICRAFT SALE,Other Income,CR
KRAMADAN BAZAAR @ KAMPUNG BARU,Food,DR
KUIH RAYA FROM KAK YAH PRE-ORDER,Food,DR
CAR BATTERY REPLACEMENT @ PROTON SERVICE CENTER,Travel Expenses,DR
SALARY FEB 2024 (ABC MANUFACTURING),Primary Income,CR
BAJU KURUNG @ PASAR MALAM SRI RAMPAI,Shopping,DR
HOSPITAL KUALA LUMPUR DEPOSIT (FLU),Deposit,CR
ZAKAT FITRAH @ MASJID NEGARA,Other Fees,DR
TOLL PLUS @ PLUS HIGHWAY (RAYA TRAVEL),Travel Expenses,DR
DUIT RAYA (GIVING TO NIECES/NEPHEWS),Other Fees,DR
BUS EKSPRES PERDANA @ TERMINAL BERSEPADU SELATAN,Travel Expenses,DR
SAMBAL IKAN BILIS INGREDIENTS @ 99 SPEEDMART,Food,DR
PHONE SCREEN REPAIR @ LOW YAT PLAZA,Personal Expenses,DR
PETRONAS PRIMAX @ PETRON BANGI,Travel Expenses,DR
SERUNDING DAGING @ BAZAAR RAMADAN PUCHONG,Food,DR
DUIT RAYA (RECEIVED FROM UNCLE),Other Income,CR
DAUN PALAS @ PASAR TANI TTDI,Food,DR
PARKING COMPOUND @ DBKL,Travel Expenses,DR
TNB ELECTRIC BILL @ KAMPUNG HOUSE,Utilities,DR
RAYA DECOR @ MR DIY PUCHONG,Shopping,DR
TOLL PLUS @ PLUS HIGHWAY (RETURN TRIP),Travel Expenses,DR
KERETA SEWA @ MAYBANK CAR RENTAL,Travel Expenses,DR
AIR SELANGOR WATER BILL @ KAMPUNG,Utilities,DR
LEMANG & RENDANG @ WARUNG MAK CIK KAMARIAH,Food,DR
POST-RAYA SALE @ AEON BIG CHERAS,Shopping,DR
GRAB RAYA SURCHARGE,Travel Expenses,DR
DENTAL FILLING @ KLINIK KESIHATAN,Personal Expenses,DR
SALARY MAR 2024 (ABC MANUFACTURING),Primary Income,CR
MAXIS POSTPAID BILL (LATE FEE),Utilities,DR
UBAT BUAH PINGGANG @ FARMASI CARING,Personal Expenses,DR
BANTUAN BENCANA BANJIR @ MAYBANK ISLAMIC,Other Income,CR
MOTORCYCLE TYRE @ KEDAI MOTOR AH CHONG,Travel Expenses,DR
description,category,type
JUALAN BUAH DURIAN,Other Income,CR
MADU LEBAH @ PASAR TANI,Other Income,CR
JUALAN ANYAMAN @ PUSAT KRAF,Other Income,CR
DANA KUIL @ KUIL KAMPUNGAMPUNG TEMPLE OFFERING,Other Income,CR
ALLOWANCE (PART-TIME TUTOR),Other Income,CR
SUNWAY COLLEGE TUITION FEE,Education,DR
SHEIN HAUL (LINGERIE SET),Shopping,DR
STARBUCKS STUDY SESSION,Food,DR
ZALORA BACK-TO-SCHOOL SALE,Shopping,DR
FOREVER21 BRA SET @ PARADIGM MALL,Shopping,DR
CHATIME BOBA (TIKTOK VIRAL FLAVOR),Food,DR
K-POP DANCE CLASS @ MYDANCE STUDIO,Education,DR
WATSONS ACNE KIT (CERAVE),Shopping,DR
TREC KL (UNDERAGE ENTRY W/ FAKE ID,Entertainment,DR
SASA EYELASH SERUM,Shopping,DR
INTI COLLEGE TEXTBOOKS,Education,DR
VICTORIA'S SECRET PINK (IMPORTED),Shopping,DR
THE COFFEE BEAN GROUP STUDY,Food,DR
GUARDIAN SUNSCREEN (BiorÃ© UV),Shopping,DR
PRIVATE TUITION (ADD MATH),Education,DR
SHEGLAM MAKEUP @ SHOPEE,Shopping,DR
AXIS CLUB (STUDENT THURSDAY),Personal Expenses,DR
PADINI STUDENT DISCOUNT TSHIRT,Shopping,DR
TEALIVE MILK TEA + PEARLS,Food,DR
SUNWAY LAGOON STUDENT PASS,Entertainment,DR
LAZADA BRA SET (6-PACK),Shopping,DR
GRAMMARLY PREMIUM (STUDENT PLAN),Education,DR
SALON KAKAK (BLUNT CUT),Personal Expenses,DR
SOCIALS @ ZOUK KL (LADIES NIGHT),Entertainment,DR
SHEIN CORSET TOP,Shopping,DR
KUMON MATH TUITION,Education,DR
INNISFREE JEJU CHERRY BLOSSOM SET,Shopping,DR
J.CO DONUTS (INSTA STORY WORTHY),Food,DR
VICTORIA'S SECRET BODY MIST,Shopping,DR
TAR COLLEGE LAB FEE,Education,DR
SASA EYEBROW TATTOO PROMO,Shopping,DR
STARBUCKS PSL (FALL LIMITED),Food,DR
H&M LINGERIE SALE,Shopping,DR
K-POP RANDOM DANCE @ SUNWAY PYRAMID,Entertainment,DR
THE FACE SHOP COLLAGEN SET,Shopping,DR
PRIVATE BAHASA INGGERIS TUITION,Education,DR
SHEIN LACE BRA (TIKTOK TREND),Shopping,DR
CHATIME x BTS LIMITED CUP,Food,DR
GUARDIAN RETINOL SERUM,Shopping,DR
CLUBBING @ PLAY CLUB (FAKE ID),Entertainment,DR
SUNWAY COLLEGE PARKING FEE,Other Fees,DR
SALON DE PONY (BANGS TRIM),Personal Expenses,DR
ALLOWANCE (FREELANCE DESIGN),Other Income,CR
INTI SEMESTER FEE,Education,DR
SHEIN SWIMWEAR (BEACH TRIP),Shopping,DR
BASKIN ROBBINS PINT (DORM NIGHT),Food,DR
WATSONS ACNE PATCHES,Shopping,DR
ZOUK KL (BIRTHDAY BOTTLE SERVICE),Entertainment,DR
SUNWAY LECTURE NOTES PRINTING,Education,DR
SHEGLAM LIP OIL @ SHOPEE,Shopping,DR
TEALIVE x DISNEY COLLAB CUP,Food,DR
GUARDIAN MAKEUP REMOVER,Shopping,DR
KPOP RANDOM DANCE WORKSHOP,Education,DR
SHEIN CORSET BRA (TIKTOK TREND),Shopping,DR
STARBUCKS RESERVE (DATE NIGHT),Food,DR
SALON KAKAK (TOUCH-UP COLOR),Personal Expenses,DR
TAR UC LIBRARY FINE,Education,DR
LAZADA SPORTS BRA (GYM),Shopping,DR
% ARABICA COFFEE (INSTA PIC),Food,DR
SASA EYEBROW MICROBLADING,Shopping,DR
SUNWAY PYRAMID ICE SKATING,Entertainment,DR
H&M LACE BODYSUIT,Shopping,DR
CHATIME x HELLO KITTY COLLAB,Food,DR
GUARDIAN ALCOHOL-FREE TONER,Shopping,DR
PLAY CLUB (STUDENT WEDNESDAY),Entertainment,DR
SHEIN SILK NIGHTGOWN,Shopping,DR
THE COFFEE BEAN (ALL-NIGHTER),Food,DR
SALON VANITY (FRINGE TRIM),Personal Expenses,DR
INTI GROUP PROJECT PRINTING,Education,DR
SHEGLAM FOUNDATION @ SHOPEE,Shopping,DR
J.CO DONUTS (STUDY FUEL),Food,DR
WATSONS FACE MASK BUNDLE,Shopping,DR
ZOUK KL (HALLOWEEN PARTY),Entertainment,DR
ALLOWANCE (PART-TIME WAITRESS),Other Income,CR
SUNWAY TEXTBOOK 2ND HAND,Education,DR
SHEIN LACE TEDDY (VDAY GIFT),Shopping,DR
CHATIME (TARIK BUBBLE TEA),Food,DR
SALON DE MODE (BLOWOUT),Personal Expenses,DR
GUARDIAN SUNSCREEN REFILL,Shopping,DR
KPOP DANCE COVER SHOOT,Entertainment,DR
FOREVER21 PUSH-UP BRA,Shopping,DR
STARBUCKS CHRISTMAS CUPS,Food,DR
SALON KAKAK (TOUCH-UP ROOTS),Personal Expenses,DR
INTI FINAL EXAM FEE,Education,DR
SHEIN SILK ROBE (SELFIE WORTHY),Shopping,DR
TEALIVE (STUDY BREAK),Food,DR
WATSONS RETINOL EYE CREAM,Shopping,DR
TREC KL (BIRTHDAY TREAT),Entertainment,DR
SUNWAY GRADUATION GOWN RENTAL,Education,DR
SHEIN CORSET DRESS (FORMAL),Shopping,DR
% ARABICA (GRADUATION PICS),Food,DR
SALON DE BRILLIANT (GLOSS TREATMENT),Personal Expenses,DR
GUARDIAN ALOE VERA GEL,Shopping,DR
ZOUK KL (GRADUATION CELEB),Entertainment,DR
SHEIN LACE BODYSUIT (AFTERPARTY),Shopping,DR
CHATIME (POST-CLUBNIGHT),Food,DR
SALON VANITY (GRAD PHOTO HAIR),Personal Expenses,DR
INTI TRANSCRIPT FEE,Education,DR
VICTORIA'S SECRET PINK (GRAD GIFT),Shopping,DR
SALARY (PART-TIME ADMIN),Other Income,CR
TESCO GROCERIES (DIAPERS + FORMULA),Shopping,DR
KIDS HAIRCUT @ Q-BOYS SALON,Personal Expenses,DR
TNB ELECTRIC BILL,Utilities,DR
MYDIN DISPOSABLE DIAPERS (PROMO),Shopping,DR
KINDERJOY TOY @ GUARDIAN,Shopping,DR
PAEDIATRICIAN @ KPJ KL,Personal Expenses,DR
PAMPERS WIPES @ WATSONS,Shopping,DR
KIDZANIA TICKET (WEEKEND),Entertainment,DR
AYAMAS CHICKEN NUGGETS (BULK),Food,DR
MAMEE CHEF (SCHOOL LUNCHES),Food,DR
SUNSILK SHAMPOO @ 99 SPEEDMART,Shopping,DR
KAKI BUKIT KINDERGARTEN FEE,Education,DR
IPOH KUAT TAUFUFA @ PUSAT BANDAR,Food,DR
DINOSAURS BOOK @ MPH BOOKSTORE,Education,DR
MILO 3-IN-1 @ AEON BIG,Food,DR
KIDS' FLU VACCINE @ KLINIK KANAK,Personal Expenses,DR
MR DIY STORAGE BINS (TOY ORGANIZATION),Shopping,DR
BABY ON BOARD STICKER @ SHOPEE,Shopping,DR
KIDDY PALACE (SCHOOL SHOES),Shopping,DR
CARREFOUR RICE (10KG BAG),Shopping,DR
WATSONS CHILDREN'S PANADOL,Personal Expenses,DR
PARKSON BABY CLOTHES SALE,Shopping,DR
KAKI BUKIT TUITION (ENGLISH),Education,DR
DOMINO'S PIZZA (FAMILY NIGHT),Food,DR
LOTUS'S BABY CEREAL,Shopping,DR
MYNEWS MAGAZINE (WAITING ROOM READ),Shopping,DR
KIDS CHRISTMAS GIFT @ TOYSRUS,Shopping,DR
KFC FAMILY BUCKET (CHRISTMAS MEAL),Food,DR
IPOH WHITE COFFEE @ OLDTOWN,Food,DR
AEON BABY FAIR (STROLLER ACCESSORIES),Shopping,DR
KIDS ART CLASS @ YOUNG ARTISTS,Education,DR
MAMEE MONSTER SNACK PACK,Food,DR
PARKSON DIAPER BUNDLE,Shopping,DR
NEW YEAR'S EVE COUNTDOWN @ HOME,Entertainment,DR
SALARY (PART-TIME ADMIN),Other Income,CR
MYDIN BABY WIPES (BULK),Shopping,DR
KIDS' DENTAL CHECKUP @ KPKL,Personal Expenses,DR
AYAMAS CHICKEN SAUSAGES,Food,DR
MILO 1KG TIN @ 99 SPEEDMART,Food,DR
KAKI BUKIT SCHOOL UNIFORM,Education,DR
WATSONS MATERNITY VITAMINS,Personal Expenses,DR
KIDDY LAND (WATER BOTTLE),Shopping,DR
LOTUS'S INSTANT PORRIDGE,Food,DR
KIDS' MOVIE @ GSC (ANIMATED),Entertainment,DR
PARKSON BABY BATH TUB,Shopping,DR
KAKI BUKIT SCHOOL EXCURSION,Education,DR
NESTLÉ NAN OPTIPRO (STAGE 3),Food,DR
KIDS' HAIRCLIPS @ MINISO,Shopping,DR
MCDONALD'S HAPPY MEAL,Food,DR
GUARDIAN CHILD-FRIENDLY MOSQUITO REPELLENT,Shopping,DR
AEON BIG (MONTHLY GROCERIES),Shopping,DR
KIDS' BIRTHDAY CAKE @ BAKER'S COTTAGE,Food,DR
MAMEE CHEF (SCHOOL RECESS),Food,DR
TESCO BABY LAUNDRY DETERGENT,Shopping,DR
KIDS' FOOTBALL JERSEY @ DECATHLON,Shopping,DR
WATSONS MATERNITY PADS,Personal Expenses,DR
KAKI BUKIT SCHOOL PHOTO DAY,Education,DR
AYAMAS FISH FINGERS,Food,DR
KIDS' ART SUPPLIES @ MR DIY,Shopping,DR
OLDTOWN KOPI-O (MOM'S ME TIME),Food,DR
PARKSON BABY BLANKET,Shopping,DR
KIDS' DENTAL FLOSSERS @ GUARDIAN,Personal Expenses,DR
MYDIN DISHWASHING LIQUID (BULK),Shopping,DR
KAKI BUKIT SCHOOL BUS FEE,Education,DR
SALARY (PART-TIME ADMIN),Other Income,CR
PAMPERS DRY PANTS @ WATSONS,Shopping,DR
KIDS' VITAMIN C @ GUARDIAN,Personal Expenses,DR
LOTUS'S BISCUITS (SCHOOL SNACKS),Food,DR
KAKI BUKIT SCHOOL SWIM CLASS,Education,DR
AYAMAS CHICKEN BURGERS,Food,DR
KIDS' STICKERS @ MINISO,Shopping,DR
MAMEE DOUBLE DECKER (LUNCHBOX),Food,DR
WATSONS BABY OIL,Shopping,DR
KIDS' CNY OUTFIT @ PADINI,Shopping,DR
OLDTOWN WHITE COFFEE (MOM'S BREAK),Food,DR
KAKI BUKIT SCHOOL CNY PARTY,Education,DR
NESTLÉ LACTOGEN (STAGE 2),Food,DR
KIDS' RED PACKETS (ANG PAO),Other Income,CR
VALENTINE'S FAMILY DINNER @ PIZZA HUT,Food,DR
KIDS' STORYBOOK @ MPH,Education,DR
GUARDIAN CHILD TOOTHPASTE,Shopping,DR
